GET    /v1/catalogos | operationId=obterTodosRegistros_10 | params=statusAtivo[query]:boolean
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens | operationId=pesquisarCompraItem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
POST   /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens | operationId=incluirCompraItem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/quantidade | operationId=recuperarCompraItemQuantidade | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem} | operationId=recuperarCompraItem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer
PATCH  /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem} | operationId=retificarParcialmenteCompraItem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer
PUT    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem} | operationId=retificarCompraItem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/imagem | operationId=getImagemLista | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer
POST   /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/imagem | operationId=inserirImagem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer, Titulo-Imagem[header]:string, Legenda-Imagem[header]:string, Texto-Alternativo-Imagem[header]*:string
DELETE /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/imagem/{sequencialImagem} | operationId=removerImagem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer, sequencialImagem[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/imagem/{sequencialImagem} | operationId=getImagem | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer, sequencialImagem[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/resultados | operationId=recuperarResultados | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer
POST   /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/resultados | operationId=incluirCompraItemResultado | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer
GET    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/resultados/{sequencialResultado} | operationId=recuperarResultado | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer, sequencialResultado[path]*:integer
PUT    /v1/orgaos/{cnpj}/compras/{ano}/{sequencial}/itens/{numeroItem}/resultados/{sequencialResultado} | operationId=retificarCompraItemResultado | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, numeroItem[path]*:integer, sequencialResultado[path]*:integer
POST   /v1/orgaos/{cnpj}/contratos | operationId=inserirContrato | params=cnpj[path]*:string, Titulo-Documento[header]*:string, Tipo-Documento-Id[header]*:integer
GET    /v1/orgaos/{cnpj}/contratos/contratacao/{anoContratacao}/{sequencialContratacao} | operationId=consultarContratosContratacao | params=cnpj[path]*:string, anoContratacao[path]*:integer, sequencialContratacao[path]*:integer, pagina[query]*:integer, tamanhoPagina[query]:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencialContrato}/instrumentocobranca | operationId=consultarInstrumentosCobranca | params=cnpj[path]*:string, ano[path]*:integer, sequencialContrato[path]*:integer
POST   /v1/orgaos/{cnpj}/contratos/{ano}/{sequencialContrato}/instrumentocobranca | operationId=inserirInstrumentoCobranca | params=cnpj[path]*:string, ano[path]*:integer, sequencialContrato[path]*:integer
DELETE /v1/orgaos/{cnpj}/contratos/{ano}/{sequencialContrato}/instrumentocobranca/{sequencialInstrumentoCobranca} | operationId=excluirInstrumentoCobranca | params=cnpj[path]*:string, ano[path]*:integer, sequencialContrato[path]*:integer, sequencialInstrumentoCobranca[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencialContrato}/instrumentocobranca/{sequencialInstrumentoCobranca} | operationId=consultarInstrumentoCobranca | params=cnpj[path]*:string, ano[path]*:integer, sequencialContrato[path]*:integer, sequencialInstrumentoCobranca[path]*:integer
PATCH  /v1/orgaos/{cnpj}/contratos/{ano}/{sequencialContrato}/instrumentocobranca/{sequencialInstrumentoCobranca} | operationId=retificarInstrumentoCobranca | params=cnpj[path]*:string, ano[path]*:integer, sequencialContrato[path]*:integer, sequencialInstrumentoCobranca[path]*:integer
DELETE /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial} | operationId=removerContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial} | operationId=consultarContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
PATCH  /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial} | operationId=retificarParicalmenteContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
PUT    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial} | operationId=retificarContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer
GET    /v1/orgaos/{cnpj}/contratos/{ano}/{sequencial}/arquivos | operationId=recuperarInformacoesDocumentosContrato | params=cnpj[path]*:string, ano[path]*:integer, sequencial[path]*:integer, pagina[query]:integer, tamanhoPagina[query]:integer
